18929.5		-5889 -5491 4.165 18.875 17.18 4.26073 1.18864 -3.54324 0.2
18956.7		-6477.9 -5491 4.165 18.875 17.18 4.26073 1.18864 -3.54324 0.2
18974.2		-5889 -6040.1 4.165 18.875 17.18 4.26073 1.18864 -3.54324 0.2
18890.6		-5889 -5491 4.5815 18.875 17.18 4.26073 1.18864 -3.54324 0.2
18561.5		-5889 -5491 4.165 20.7625 17.18 4.26073 1.18864 -3.54324 0.2
19071.2		-5889 -5491 4.165 18.875 18.898 4.26073 1.18864 -3.54324 0.2
18992.4		-5889 -5491 4.165 18.875 17.18 4.6868 1.18864 -3.54324 0.2
19047.9		-5889 -5491 4.165 18.875 17.18 4.26073 1.3075 -3.54324 0.2
18530.1		-5889 -5491 4.165 18.875 17.18 4.26073 1.18864 -3.89756 0.2
18929.5		-5889 -5491 4.165 18.875 17.18 4.26073 1.18864 -3.54324 0.22
19680.8		-6019.87 -5613.02 4.25756 19.2944 15.462 4.35541 1.21505 -3.62198 0.204444
18837.4		-5921.72 -5521.51 4.18814 18.9799 18.039 4.2844 1.19524 -3.56292 0.201111
18716.7		-6027.14 -5619.8 4.2627 19.3177 17.3709 4.36067 1.07124 -3.62635 0.204691
18133		-6057.83 -5648.42 4.28441 19.4161 17.4133 3.86213 1.16402 -3.64482 0.205734
17613		-6142.25 -5727.14 4.34411 19.6867 17.53 3.44979 1.15171 -3.69561 0.208601
18361.7		-6114.11 -5029.78 4.32421 19.5965 17.4911 4.10799 1.15581 -3.67868 0.207645
18245.2		-5444.37 -5476.38 4.35959 19.7568 17.5602 4.07405 1.14852 -3.70878 0.209344
18105.7		-5934.46 -5473.13 4.40283 19.9528 17.6447 4.03256 1.1396 -3.74557 0.211421
17962.1		-5944.57 -5469.16 4.45569 20.1923 17.748 3.98186 1.1287 -3.79053 0.189514
17940.4		-5956.92 -5464.31 4.01123 20.4851 17.8742 3.91989 1.11538 -3.84548 0.207184
17605.3		-5932.02 -5421.09 4.36527 20.7147 16.9785 3.81522 1.09103 -3.88859 0.207422
17576.2		-5937.17 -5370.89 4.45384 21.5821 16.4483 3.58062 1.03893 -4.05142 0.210578
17640.6		-5806.61 -5267.49 4.33319 20.88 17.4416 3.5656 1.20785 -3.91962 0.20515
17501.7		-5926.44 -5346.62 4.46826 19.4614 17.6907 3.51107 1.09473 -4.08638 0.210986
18176.4		-5945.15 -5274.43 4.6199 18.8108 17.946 3.13624 1.04777 -4.35795 0.216479
17769.9		-5934.75 -5314.53 4.53566 21.4792 17.8042 3.34448 1.07386 -3.77401 0.213427
17766.1		-5669.79 -5839.03 4.42343 21.176 17.5627 3.32755 1.08847 -4.01408 0.207067
17906.6		-6389.62 -5473.02 4.40224 21.3311 17.4941 3.1956 1.08243 -4.05182 0.204862
18079.5		-6000.67 -5476.24 4.35887 21.4414 17.3761 3.05109 1.07864 -4.08309 0.201328
17753.7		-5984.12 -5475.46 4.36986 21.0692 17.4433 3.29646 1.09388 -3.99871 0.203851
18170.7		-5999.36 -5481.61 4.28694 21.3967 17.2051 2.94948 1.08179 -4.08439 0.22642
17661.9		-5958.26 -5472.28 4.4135 20.4934 17.6123 3.72377 1.11698 -3.864 0.198741
18172.2		-5987.31 -5488.23 4.8208 21.1059 17.0207 2.96787 1.09547 -4.03355 0.206874
17676.5		-5964.51 -5470.29 4.21362 20.6403 17.6608 3.68188 1.11041 -3.8925 0.207106
17771.1		-5460.14 -5478.92 4.38786 20.1063 17.4379 3.80023 1.13464 -3.79181 0.209695
17614.4		-5692.51 -5477.44 4.39146 20.4125 17.4519 3.64907 1.12159 -3.85681 0.208487
17331.1		-5861.17 -5673.61 4.22241 19.7212 17.0495 3.71904 1.15382 -4.08802 0.200032
17157.1		-5824.38 -5853.15 4.06578 18.8422 16.6722 3.90631 1.1938 -4.24502 0.193334
17678.6		-6160.49 -5152.24 4.25515 19.5057 17.0931 3.86458 1.16261 -3.89927 0.203341
17965.2		-5885.35 -5443.99 4.28323 19.2651 17.1347 4.02192 1.17248 -3.89254 0.206443
17568.8		-5959.43 -5467.59 4.3482 20.6182 17.3661 3.47782 1.11353 -3.97217 0.204499
17721.8		-5664.3 -5837.29 4.41862 21.0758 17.5455 3.36785 1.09284 -4.00818 0.207211
17527.9		-6036.44 -5323.5 4.29602 19.8982 17.2062 3.7404 1.14517 -3.9265 0.204308
17233.8		-5876.26 -5486.62 4.47846 19.7764 16.8768 3.56355 1.15277 -4.02251 0.202823
17234.5		-5864.29 -5487.82 4.29302 19.7638 16.7619 3.48606 1.15415 -4.08624 0.212096
16991.8		-6028.76 -5741.58 4.3644 19.1292 16.7815 3.62656 1.05134 -4.06763 0.207231
16427.7		-6139.84 -5978.62 4.38 18.2538 16.4514 3.65704 0.97308 -4.14164 0.208271
16837.2		-6242.27 -5642.99 4.30359 19.117 16.5489 3.54486 1.1046 -4.19374 0.203846
16919.2		-5814.75 -5374.6 4.34193 19.7162 16.2528 3.76526 1.06401 -4.46563 0.202675
17516.6		-5992.63 -5731.67 4.20733 17.4062 17.291 3.67546 1.18237 -4.20187 0.198942
16570.5		-5977.75 -5693.65 4.28166 17.6563 16.3566 3.82218 1.12307 -4.33217 0.203786
16185.3		-5887.69 -5919.99 4.33066 17.8781 16.3276 3.57778 1.08652 -4.46799 0.20386
15329.8		-5813.31 -6218.24 4.34798 16.868 15.8883 3.49647 1.05719 -4.73873 0.203637
17082.7		-5891.66 -5619.95 4.4506 20.2505 15.9311 3.60294 1.0215 -4.31192 0.21027
14644		-5950.12 -6065.75 4.18574 18.3707 15.1405 3.78775 1.09287 -4.47754 0.198067
13437.1		-5961.96 -6425.31 4.04447 17.8254 13.8653 3.92609 1.09193 -4.67312 0.191608
14271.1		-6033.97 -6132.87 4.30575 17.6374 15.4255 3.91053 1.01962 -4.60809 0.192404
13357.5		-6057.05 -6277.69 4.08193 17.1496 14.9881 3.91016 0.99141 -4.80195 0.199361
